Designator,Mid X,Mid Y,Rotation,Layer
C1,57.0,26.5,270.0,top
C10,42.5,39.9,90.0,top
C11,36.75,30.9,270.0,top
C12,34.55,30.9,90.0,top
C13,65.9,27.0,90.0,top
C14,22.8,43.4,0.0,top
C15,22.8,35.8,0.0,top
C16,22.8,28.3,0.0,top
C17,38.0,26.5,90.0,top
C2,59.9,31.6,0.0,top
C3,59.8,27.35,90.0,top
C35,42.0,26.5,90.0,top
C4,59.9,42.375,270.0,top
C5,62.45,29.2,90.0,top
C6,60.8,29.2,90.0,top
C7,57.0,22.5,90.0,top
C8,42.45,42.775,270.0,top
C9,60.5,30.05,0.0,top
D1,21.0,24.0,0.0,top
D10,21.0,46.5,0.0,top
D11,26.7,48.5,0.0,top
D12,16.05,42.5,180.0,top
D13,16.05,40.5,180.0,top
D14,16.0,32.0,180.0,top
D2,21.0,26.5,0.0,top
D3,21.0,29.0,0.0,top
D4,21.0,31.5,0.0,top
D5,21.0,34.0,0.0,top
D6,21.0,36.5,0.0,top
D7,21.0,39.0,0.0,top
D8,21.0,41.5,0.0,top
D9,21.0,44.0,0.0,top
J2,10.405,27.5,0.0,top
J3,12.125,41.5,270.0,top
J4,64.815,35.0,90.0,top
J5,33.5,37.800000000000004,180.0,top
L1,60.5,23.4,270.0,top
R1,61.9,29.2,90.0,top
R10,67.1,27.0,270.0,top
R11,37.85,30.9,90.0,top
R12,35.65,30.9,90.0,top
R13,33.45,30.9,90.0,top
R14,32.35,30.9,90.0,top
R15,31.25,30.9,90.0,top
R2,59.9,43.775,270.0,top
R3,61.35,29.2,270.0,top
R4,60.6,28.4,180.0,top
R5,40.05,30.9,90.0,top
R6,38.95,30.9,90.0,top
R7,65.78,29.8,0.0,top
R8,61.0,40.2,0.0,top
R9,66.5,27.0,270.0,top
SW1,30.9,27.0,180.0,top
U1,51.0,37.0,0.0,top
U2,61.9,27.5,270.0,top
U3,67.0,23.9,90.0,top
U4,15.5,27.0,270.0,top
U5,15.5,24.5,270.0,top
